"country","iso2c","id","year","membership","wdi_gdp_growth","wdi_npl_ratio","wdi_risk_premium_lending","wdi_domestic_credit","wdi_liquid_reserves_ratio","grouping"
"Finland","FI","FI1",2013,"SSM",-1.20564115135147,NA,NA,104.864880973076,7.07248722444514,"Nordic"
"France","FR","FR1",2005,"SSM",1.60771381504657,3.5,NA,105.696515419492,1.05204407840292,"Western Europe"
"France","FR","FR1",2006,"SSM",2.37494690114663,3,NA,111.648996070183,0.963143301598152,"Western Europe"
"France","FR","FR1",2007,"SSM",2.36149887066625,2.7,NA,118.354088822873,2.45716156947231,"Western Europe"
"France","FR","FR1",2008,"SSM",0.19529476916675,2.81942025282791,NA,120.44437207205,2.99731119766297,"Western Europe"
"France","FR","FR1",2009,"SSM",-2.94134105741433,4.02193112740747,NA,125.249443403539,2.06848247919709,"Western Europe"
"France","FR","FR1",2010,"SSM",1.96565737604462,3.75857389340272,NA,128.644555539933,1.45772098781767,"Western Europe"
"France","FR","FR1",2011,"SSM",2.07922917578311,4.29144958888442,NA,129.401481291556,5.25834130865733,"Western Europe"
"France","FR","FR1",2012,"SSM",0.334357168402093,4.29452327369679,NA,132.535762979428,5.99739685411637,"Western Europe"
"France","FR","FR1",2013,"SSM",0.285120347457564,4.49543407979547,NA,130.753985807738,3.41856873281192,"Western Europe"
"United Kingdom","GB","GB1",2005,"EU Non-SSM",2.80654542057685,1,0.0947000000000005,153.048708787481,NA,"Western Europe"
"United Kingdom","GB","GB1",2006,"EU Non-SSM",3.04209575927517,0.9,-0.0023083333333398,162.395510234903,NA,"Western Europe"
"United Kingdom","GB","GB1",2007,"EU Non-SSM",2.55563600194864,0.9,-0.0034416666666699,177.996712934078,NA,"Western Europe"
"United Kingdom","GB","GB1",2008,"EU Non-SSM",-0.332044323488816,1.55697368984839,0.32051666666667,201.548784302105,NA,"Western Europe"
"United Kingdom","GB","GB1",2009,"EU Non-SSM",-4.31061369220637,3.50865701820859,0.0985,215.574663499141,NA,"Western Europe"
"United Kingdom","GB","GB1",2010,"EU Non-SSM",1.91138067918317,3.95483378788783,0.00367499999999998,209.088228043494,NA,"Western Europe"
"United Kingdom","GB","GB1",2011,"EU Non-SSM",1.64511984323417,3.9618682056152,0.014141666666667,199.275961192088,NA,"Western Europe"
"United Kingdom","GB","GB1",2012,"EU Non-SSM",0.659031435442586,3.66087443565243,0.187183333333333,195.646632036837,NA,"Western Europe"
"United Kingdom","GB","GB1",2013,"EU Non-SSM",1.7291864489942,NA,0.1985,184.091482463103,NA,"Western Europe"
"Greece","GR","GRC",2005,"SSM",0.890925388555999,6.3,NA,103.342154022284,2.3138282325307,"Southern"
"Greece","GR","GRC",2006,"SSM",5.81528136658748,5.4,NA,104.445189160404,2.04990692314511,"Southern"
"Greece","GR","GRC",2007,"SSM",3.53747545689728,4.6,NA,108.909037026856,2.65087649358677,"Southern"
"Greece","GR","GRC",2008,"SSM",-0.444382522181229,4.67274772895685,NA,111.481808869209,2.5504235708501,"Southern"
"Greece","GR","GRC",2009,"SSM",-4.39492813597283,6.95395460630733,NA,112.787293992781,2.6234834938763,"Southern"
"Greece","GR","GRC",2010,"SSM",-5.44838973386359,9.11734433232386,NA,146.196454621812,3.15081100756704,"Southern"
"Greece","GR","GRC",2011,"SSM",-8.86388754581861,14.4282542935832,NA,153.793946628673,1.70515264193982,"Southern"
"Greece","GR","GRC",2012,"SSM",-6.57211183516839,23.2703887873912,NA,135.188770571152,1.12040821179724,"Southern"
"Greece","GR","GRC",2013,"SSM",-3.31550802612412,31.8989384689708,NA,134.294390423048,1.47874507476943,"Southern"
"Croatia","HR","HRV",2005,"EU Non-SSM",4.16384089738375,6.2,NA,62.8458452842878,22.6675259310121,"Southeastern/Balkan Europe"
"Croatia","HR","HRV",2006,"EU Non-SSM",4.78519068675942,5.185,NA,68.5894654420232,21.7124698840836,"Southeastern/Balkan Europe"
"Croatia","HR","HRV",2007,"EU Non-SSM",5.15008294096451,4.753,NA,70.7576712043902,19.5170621432861,"Southeastern/Balkan Europe"
"Croatia","HR","HRV",2008,"EU Non-SSM",2.05311067934768,4.87222850589704,NA,73.8993606857989,14.3624874849132,"Southeastern/Balkan Europe"
"Croatia","HR","HRV",2009,"EU Non-SSM",-7.3836530002248,7.65995176369145,NA,77.3761789185385,16.2985918016044,"Southeastern/Balkan Europe"
"Croatia","HR","HRV",2010,"EU Non-SSM",-1.7011368880312,11.0922699048241,NA,90.7370623984929,15.0399219377783,"Southeastern/Balkan Europe"
"Croatia","HR","HRV",2011,"EU Non-SSM",-0.281367268115872,12.2729159322381,NA,96.0999703355934,16.5151970276301,"Southeastern/Balkan Europe"
"Croatia","HR","HRV",2012,"EU Non-SSM",-2.1875897993996,13.7595527847579,NA,96.1884991142058,16.5798348985018,"Southeastern/Balkan Europe"
"Croatia","HR","HRV",2013,"EU Non-SSM",-0.939174026915708,15.4303697522959,NA,94.114528904842,17.1430542143744,"Southeastern/Balkan Europe"
"Hungary","HU","HUN",2005,"EU Non-SSM",4.25965782506286,2.3,1.58798807424999,61.394161423652,14.0046323676835,"Central and Eastern Europe"
"Hungary","HU","HUN",2006,"EU Non-SSM",3.96294438747408,2.6,1.21129133143109,67.3600578032686,11.7593650232681,"Central and Eastern Europe"
"Hungary","HU","HUN",2007,"EU Non-SSM",0.511279220178153,2.3,1.41164586271724,74.2981402442499,8.79784664748415,"Central and Eastern Europe"
"Hungary","HU","HUN",2008,"EU Non-SSM",0.878582395860093,2.98329129691715,1.27768645817598,79.7174720872322,11.2428222392429,"Central and Eastern Europe"
"Hungary","HU","HUN",2009,"EU Non-SSM",-6.55102970714437,6.70450997232196,2.5523998501495,79.6346324870336,17.71772511855,"Central and Eastern Europe"
"Hungary","HU","HUN",2010,"EU Non-SSM",0.789116879525025,9.81364928976522,2.21646231219636,81.0889292411535,15.7883307797738,"Central and Eastern Europe"
"Hungary","HU","HUN",2011,"EU Non-SSM",1.8066054345244,13.3898521982054,2.30265774969167,76.1024433251068,19.4245822711777,"Central and Eastern Europe"
"Hungary","HU","HUN",2012,"EU Non-SSM",-1.47794468745423,15.7773533158828,2.104162093925,67.5077831642661,23.6627996224479,"Central and Eastern Europe"
"Hungary","HU","HUN",2013,"EU Non-SSM",1.52516680591516,16.7353009780771,2.12400010390833,64.6927475902424,30.173453694794,"Central and Eastern Europe"
"Ireland","IE","IRL",2005,"SSM",5.67420843274138,0.48,NA,153.644448094161,1.25872954925357,"Western Europe"
"Ireland","IE","IRL",2006,"SSM",5.47016019902782,0.535,NA,173.752936495889,1.51480229317209,"Western Europe"
"Ireland","IE","IRL",2007,"SSM",4.93218271772469,0.629,NA,188.231629984182,2.13349263817571,"Western Europe"
"Ireland","IE","IRL",2008,"SSM",-2.60966479890033,1.92252115115214,NA,199.746702962647,1.86349088120119,"Western Europe"
"Ireland","IE","IRL",2009,"SSM",-6.37066819807201,9.7963666080107,NA,213.808531229737,1.59142370385286,"Western Europe"
"Ireland","IE","IRL",2010,"SSM",-0.275504950947465,12.4666710113595,NA,220.573851782799,1.34408103546283,"Western Europe"
"Ireland","IE","IRL",2011,"SSM",2.77272895327106,16.1214680824703,NA,206.397426042791,0.835266649463343,"Western Europe"
"Ireland","IE","IRL",2012,"SSM",-0.313100537078597,24.5904665022738,NA,191.391566484523,0.516901718409868,"Western Europe"
"Ireland","IE","IRL",2013,"SSM",0.173649122707431,25.3188054712637,NA,186.081408592703,0.542959149858825,"Western Europe"
"Iceland","IS","ISL",2005,"EEA/Other",6.00194571046985,1.1,5.98171743475819,235.018160034329,1.19781089198134,"Nordic"
"Iceland","IS","ISL",2006,"EEA/Other",4.2329002512292,0.8,4.4959964907346,296.54885674386,0.935030146318148,"Nordic"
"Iceland","IS","ISL",2007,"EEA/Other",9.72250181812906,NA,4.1611113266989,299.040076807541,1.82469181418832,"Nordic"
"Iceland","IS","ISL",2008,"EEA/Other",1.14900826446281,NA,2.261199667,177.816022622636,5.93442343006947,"Nordic"
"Iceland","IS","ISL",2009,"EEA/Other",-5.14730334021569,14.1,7.6039360817328,172.670381818148,5.17734580760217,"Nordic"
"Iceland","IS","ISL",2010,"EEA/Other",-2.93477933164212,18.3,3.6070286966844,157.954082532271,4.71436455044576,"Nordic"
"Iceland","IS","ISL",2011,"EEA/Other",2.13252162029045,11.6,3.41890580677891,141.744521612601,4.70827191590128,"Nordic"
"Iceland","IS","ISL",2012,"EEA/Other",1.14626824171384,6.3,2.76600543844187,137.822391758263,6.10799283716652,"Nordic"
"Iceland","IS","ISL",2013,"EEA/Other",3.4593666804976,4.3,1.96,130.882674937992,6.84678676004223,"Nordic"
"Italy","IT","ITA",2005,"SSM",0.949558090999588,6.996,3.141535,103.536881486894,0.851555752213686,"Southern Europe"
"Italy","IT","ITA",2006,"SSM",2.00641188425459,6.568,2.4390625,107.542402858788,0.974532104064877,"Southern Europe"
"Italy","IT","ITA",2007,"SSM",1.47417311331301,5.778,2.29898333333333,123.703770403743,2.52201756592033,"Southern Europe"
"Italy","IT","ITA",2008,"SSM",-1.04984528397267,6.28258103994627,3.07961,127.338782424019,2.00891213928151,"Southern Europe"
"Italy","IT","ITA",2009,"SSM",-5.48136138457168,9.4463437392788,3.80166666666667,136.722661574487,1.96948775995163,"Southern Europe"
"Italy","IT","ITA",2010,"SSM",1.71053215030577,10.0278370674613,2.89833333333334,150.627641381235,1.16128192892176,"Southern Europe"
"Italy","IT","ITA",2011,"SSM",0.586849046595745,11.7423491843706,1.81333333333334,151.523897448039,1.64059485982486,"Southern Europe"
"Italy","IT","ITA",2012,"SSM",-2.26757565540444,13.7463696406392,3.3275,161.49862039651,1.3300948804539,"Southern Europe"
"Italy","IT","ITA",2013,"SSM",-1.9250006218886,16.5427056350995,4.28891666666667,161.838441315853,1.03548221097863,"Southern Europe"
"Japan","JP","JPN",2005,"Non-Europe",1.3027281442793,1.8,1.67391666666667,317.879346158983,4.30929957905385,"Non-Europe"
"Japan","JP","JPN",2006,"Non-Europe",1.6929042449114,1.8,1.24583333333333,309.589570709045,1.83969932276705,"Non-Europe"
"Japan","JP","JPN",2007,"Non-Europe",2.19218623250299,1.5,1.33025,299.14227918558,1.84885557295962,"Non-Europe"
"Japan","JP","JPN",2008,"Non-Europe",-1.04163603443133,2.4,1.5525,302.019611003343,2.40973735492857,"Non-Europe"
"Japan","JP","JPN",2009,"Non-Europe",-5.52697648866557,2.4,1.60233333333333,330.890403063688,2.88779621898433,"Non-Europe"
"Japan","JP","JPN",2010,"Non-Europe",4.65203015430922,2.5,1.46833333333333,328.523396634924,3.06900852259624,"Non-Europe"
